ago 1998,2518.02
sep 1998,2791.67
oct 1998,2889.37
nov 1998,2783.21
dic 1998,2320.3
ene 1999,2315.41
feb 1999,2724.18
mar 1999,3152.77
abr 1999,2900.1
may 1999,3037.35
jun 1999,3177.58
jul 1999,3091.3
ago 1999,2747.87
sep 1999,3028.06
oct 1999,2803.22
nov 1999,3090.98
dic 1999,2558.16
ene 2000,2601.04
feb 2000,3167.39
mar 2000,3612.25
abr 2000,2765.35
may 2000,3437.37
jun 2000,3608.15
jul 2000,3428.75
ago 2000,3123.34
sep 2000,3388.45
oct 2000,3226.25
nov 2000,3409.16
dic 2000,2671.14
ene 2001,3026.02
feb 2001,3237.32
mar 2001,3612.59
abr 2001,3330.22
may 2001,3926.48
jun 2001,3901.41
jul 2001,3869.35
ago 2001,3361.5
sep 2001,3451.15
oct 2001,4009.31
nov 2001,3679.1
dic 2001,2746.13
ene 2002,3499.14
feb 2002,3611.32
mar 2002,3368.79
abr 2002,3920.42
may 2002,3939.34
jun 2002,3755.08
jul 2002,4251.71
ago 2002,3322.26
sep 2002,3755.23
oct 2002,4178.7
nov 2002,3645.61
dic 2002,2872.22
ene 2003,3320.72
feb 2003,3528.71
mar 2003,4037.2
abr 2003,3912.15
may 2003,4140.88
jun 2003,4146
jul 2003,4482.66
ago 2003,3260.94
sep 2003,4091.43
oct 2003,4216.04
nov 2003,3890.69
dic 2003,3195.82
ene 2004,3421.53
feb 2004,3760.48
mar 2004,4311.07
abr 2004,3906.34
may 2004,4109.94
jun 2004,4474.87
jul 2004,4437.57
ago 2004,3548.34
sep 2004,4293.93
oct 2004,3960.29
nov 2004,4387
dic 2004,3391.75
ene 2005,3427.64
feb 2005,3864.83
mar 2005,4340.21
abr 2005,4703.95
may 2005,4710.61
jun 2005,4774.82
jul 2005,4514.8
ago 2005,4104.22
sep 2005,4612.51
oct 2005,4208.4
nov 2005,4557.72
dic 2005,3689.93
ene 2006,3957.43
feb 2006,4365.15
mar 2006,5296.03
abr 2006,4286.77
may 2006,5179.23
jun 2006,5288.58
jul 2006,4937.42
ago 2006,4362.33
sep 2006,4691.01
oct 2006,4761.77
nov 2006,4883.06
dic 2006,3887.61
ene 2007,4541.84
feb 2007,4535.95
mar 2007,5261.77
abr 2007,4406
may 2007,5071.63
jun 2007,5069.44
jul 2007,5130.64
ago 2007,4264.65
sep 2007,4445.69
oct 2007,4967.35
nov 2007,4857.85
dic 2007,3444.26
ene 2008,4189.54
feb 2008,4306.24
mar 2008,3934.07
abr 2008,4308.71
may 2008,4002.23
jun 2008,3392.01
jul 2008,4036.81
ago 2008,2962.2
sep 2008,3351.97
oct 2008,3272.61
nov 2008,2860.49
dic 2008,2078.66
ene 2009,1867.5
feb 2009,2285.98
mar 2009,2543.68
abr 2009,2355.49
may 2009,2506.84
jun 2009,2728.98
jul 2009,2854.36
ago 2009,2388.96
sep 2009,2628.38
oct 2009,2561.04
nov 2009,2559.87
dic 2009,1630.06
ene 2010,1487.37
feb 2010,1700.14
mar 2010,2126.15
abr 2010,2140.8
may 2010,2324.43
jun 2010,2436.45
jul 2010,2421.2
ago 2010,2080.42
sep 2010,2151.61
oct 2010,2086.16
nov 2010,1994.82
dic 2010,1506.45
ene 2011,1499.08
feb 2011,1762.78
mar 2011,2060
abr 2011,1823.91
may 2011,2008.57
jun 2011,1875.76
jul 2011,1812.93
ago 2011,1700.8
sep 2011,1686.62
oct 2011,1513.46
nov 2011,1490.78
dic 2011,1206.38
ene 2012,1137.86
feb 2012,1152.83
mar 2012,1293.13
abr 2012,1076.53
may 2012,1291.09
jun 2012,1266.22
jul 2012,1258.73
ago 2012,1156.49
sep 2012,1042.25
oct 2012,1129.72
nov 2012,997.65
dic 2012,779.3
ene 2013,870.78
feb 2013,839.6
mar 2013,756
abr 2013,910
may 2013,1007.54
jun 2013,987.34
jul 2013,1051.32
ago 2013,846.51
sep 2013,903.66
oct 2013,986.45
nov 2013,878.44
dic 2013,705.35
ene 2014,732
feb 2014,748.29
mar 2014,875.82
abr 2014,849.11
may 2014,971.35
jun 2014,1007.18
jul 2014,1122.98
ago 2014,861.79
sep 2014,952.51
oct 2014,1050.32
nov 2014,886.34
dic 2014,775.51
ene 2015,755.38
feb 2015,822.22
mar 2015,999.98
abr 2015,978.81
may 2015,1044
jun 2015,1058.16
jul 2015,1075.76
ago 2015,901.56
sep 2015,1007.5
oct 2015,1009.54
nov 2015,1002.64
dic 2015,834.71
ene 2016,744.89
feb 2016,892.73
mar 2016,928.19
abr 2016,946.33
may 2016,965.47
jun 2016,1048.12
jul 2016,962.23
ago 2016,930.59
sep 2016,972.97
oct 2016,936.57
nov 2016,1008.19
